hypothesis,loss_before,loss_after,improvement_pct,survival_frames,floors_cleared,total_kills,score,total_damage,avg_hp,hp_cv,avg_floor_time,kill_interval,kill_cv,near_death_rate,kills_per_floor,damage_interval,player_speed,enemy_speed_basic,enemy_speed_fast,enemy_speed_tank,attack_cooldown,arrow_speed,arrow_range,bow_cooldown,chase_range,knockback_strength,iframe_duration,dash_duration,dash_cooldown,dash_speed_mult,basic_hp,fast_hp,tank_hp,ranged_hp,boss_hp_base,boss_hp_per_floor,enemy_contact_damage,player_base_hp,spawn_density
Baseline_Classic,3.25,3.25,0,9000,9,163,1812,3,0.74,0.23,913.81,55.90,1.15,0.00,17.87,1067.69,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0,1.0,10.0,1.0
Baseline_GlassCannon,3.40,3.40,0,9000,9,159,0,4,0.91,0.09,925.96,0,0,0.00,0,0,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0,1.0,10.0,1.0
Baseline_Tank,5.77,5.77,0,9000,8,138,0,2,0.64,0.20,1029.05,0,0,0.00,0,0,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0,1.0,10.0,1.0
Baseline_Mobility,6.65,6.65,0,9000,10,170,0,3,0.87,0.11,856.93,0,0,0.00,0,0,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0,1.0,10.0,1.0
Baseline_Expanded,3.91,3.91,0,9000,7,135,0,2,0.81,0.14,989.30,0,0,0.00,0,0,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0,1.0,10.0,1.0
Classic,3.25,1.23,61.97,9000,8,102,1181,1,0.66,0.25,992.61,87.66,0.81,0.01,12.22,32.45,2.72,0.46,1.49,0.44,15.08,2.27,249.0,22.42,60.0,9.15,19.96,14.80,48.64,8.0,5.13,2.29,13.07,2.02,15.25,3.51,1.0,11.04,0.68
GlassCannon,3.40,1.25,63.25,9000,8,102,1143,0,0.73,0.26,993.90,88.61,0.78,0.00,12.52,0.00,2.80,0.80,0.99,0.15,7.34,1.95,175.05,31.40,60.0,3.34,44.06,11.18,49.91,4.88,3.28,1.0,4.91,1.0,16.25,2.90,1.0,7.78,0.79
Tank,5.77,1.31,77.25,9000,7,91,1015,0,0.63,0.32,1066.82,94.16,0.93,0.00,12.22,0.00,2.09,0.20,3.04,0.27,5.40,1.64,340.46,8.29,60.0,6.79,60.0,12.81,74.27,5.69,5.65,1.59,9.80,2.38,27.84,0.57,1.0,13.73,0.68
Mobility,6.65,1.19,81.99,9000,7,96,1077,0,0.65,0.30,1084.38,93.89,0.77,0.00,12.83,0.00,2.64,0.73,1.10,0.66,5.0,1.0,281.87,14.11,60.0,3.09,10.26,9.85,51.04,1.50,6.28,1.02,7.95,2.25,5.0,0.52,1.04,3.0,0.95
Expanded,3.91,1.27,67.38,9000,7,93,1065,0,0.67,0.30,982.21,88.78,0.78,0.00,12.00,0.00,3.80,0.36,1.51,0.51,5.0,1.0,400.0,20.15,60.0,0.50,41.0,11.51,28.11,2.07,1.51,1.23,3.57,1.0,23.73,2.15,1.0,5.70,0.91
