hypothesis,loss_before,loss_after,improvement_pct,survival_frames,floors_cleared,total_kills,score,total_damage,avg_hp,hp_cv,avg_floor_time,kill_interval,kill_cv,near_death_rate,kills_per_floor,damage_interval,player_speed,enemy_speed_basic,enemy_speed_fast,enemy_speed_tank,attack_cooldown,arrow_speed,arrow_range,bow_cooldown,chase_range,knockback_strength,iframe_duration,dash_duration,dash_cooldown,dash_speed_mult,basic_hp,fast_hp,tank_hp,ranged_hp,boss_hp_base,boss_hp_per_floor,enemy_contact_damage,player_base_hp,spawn_density
Baseline_Classic,3.2568,3.2568,0,9000,9,163,1812,3,0.7448,0.2304,913.8193,55.9062,1.1503,0.0000,17.8733,1067.6916,2.0000,0.8000,1.1999,0.4000,20.0000,4.0000,160.0000,15.0000,120.0000,4.0000,30.0000,8.0000,40.0000,4.0000,3.0000,2.0000,8.0000,2.0000,20.0000,2.0000,1.0000,10.0000,1.0000
Baseline_GlassCannon,3.4057,3.4057,0,9000,9,159,1778,4,0.9154,0.0995,925.9615,55.3240,1.1189,0.0000,17.7943,1300.7708,2.0000,0.8000,1.1999,0.4000,20.0000,4.0000,160.0000,15.0000,120.0000,4.0000,30.0000,8.0000,40.0000,4.0000,3.0000,2.0000,8.0000,2.0000,20.0000,2.0000,1.0000,10.0000,1.0000
Baseline_Tank,5.7741,5.7741,0,9000,8,138,1520,2,0.6440,0.2043,1029.0543,60.2079,1.0847,0.0000,18.4839,1250.7500,2.0000,0.8000,1.1999,0.4000,20.0000,4.0000,160.0000,15.0000,120.0000,4.0000,30.0000,8.0000,40.0000,4.0000,3.0000,2.0000,8.0000,2.0000,20.0000,2.0000,1.0000,10.0000,1.0000
Baseline_Mobility,6.6596,6.6596,0,9000,10,170,1903,3,0.8787,0.1193,856.9300,53.2842,1.1478,0.0000,16.6007,1685.5625,2.0000,0.8000,1.1999,0.4000,20.0000,4.0000,160.0000,15.0000,120.0000,4.0000,30.0000,8.0000,40.0000,4.0000,3.0000,2.0000,8.0000,2.0000,20.0000,2.0000,1.0000,10.0000,1.0000
Baseline_Expanded,3.9104,3.9104,0,9000,7,135,1498,2,0.8193,0.1495,989.3062,56.7019,1.2263,0.0000,18.0000,839.8750,2.0000,0.8000,1.1999,0.4000,20.0000,4.0000,160.0000,15.0000,120.0000,4.0000,30.0000,8.0000,40.0000,4.0000,3.0000,2.0000,8.0000,2.0000,20.0000,2.0000,1.0000,10.0000,1.0000
Classic,3.2568,1.2383,61.97,9000,8,102,1181,1,0.6611,0.2579,992.6168,87.6699,0.8162,0.0141,12.2265,32.4583,2.7246,0.4657,1.4910,0.4412,15.0820,2.2729,249.0084,22.4264,60.0000,9.1544,19.9655,14.8046,48.6451,8.0000,5.1380,2.2913,13.0783,2.0219,15.2506,3.5174,1.0000,11.0451,0.6869
GlassCannon,3.4057,1.2514,63.25,9000,8,102,1143,0,0.7309,0.2679,993.9035,88.6122,0.7820,0.0075,12.5285,0.0000,2.8050,0.8095,0.9904,0.1504,7.3462,1.9582,175.0538,31.4049,60.0000,3.3496,44.0633,11.1828,49.9155,4.8885,3.2845,1.0000,4.9122,1.0000,16.2542,2.9085,1.0000,7.7801,0.7914
Tank,5.7741,1.3135,77.25,9000,7,91,1015,0,0.6353,0.3299,1066.8214,94.1675,0.9363,0.0000,12.2232,0.0000,2.0970,0.2000,3.0494,0.2739,5.4092,1.6416,340.4601,8.2910,60.0000,6.7966,60.0000,12.8196,74.2704,5.6936,5.6561,1.5946,9.8048,2.3813,27.8485,0.5718,1.0000,13.7372,0.6866
Mobility,6.6596,1.1987,81.99,9000,7,96,1077,0,0.6526,0.3034,1084.3883,93.8931,0.7795,0.0091,12.8348,0.0000,2.6441,0.7364,1.1029,0.6628,5.0000,1.0000,281.8758,14.1188,60.0000,3.0937,10.2691,9.8573,51.0481,1.5000,6.2846,1.0276,7.9572,2.2592,5.0000,0.5279,1.0499,3.0000,0.9553
Expanded,3.9104,1.2755,67.38,9000,7,93,1065,0,0.6705,0.3012,982.2124,88.7864,0.7882,0.0000,12.0000,0.0000,3.8038,0.3695,1.5122,0.5147,5.0000,1.0000,400.0000,20.1588,60.0000,0.5000,41.0084,11.5187,28.1128,2.0701,1.5181,1.2341,3.5736,1.0000,23.7316,2.1570,1.0000,5.7002,0.9123
